,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
9487,APOBEC3F,0.7215087135931926,0.34197894,SCX,0.8821100972612672,1.3877501,PON2,0.5239455179195254,1.7554677,CCL3L3,0.9064248554476017,-1.2278442
9488,SIRPA,0.7216148644417313,-1.003752,IGLV2-23,0.8821601952058497,1.3367604,FBXL8,0.5239455179195254,1.9252985,SLC30A1,0.9064854732762191,-0.023101268
9489,MYH11,0.7216763226469673,-0.12528104,FLJ42969,0.8822854421293705,0.45323223,SVIL,0.5239629379999485,1.7654139,UGDH,0.9065703391513872,-0.17767262
9490,RP11-196G18.24,0.7220842271574375,-0.65491635,HEATR5B,0.8822979669836571,-0.16526893,ZBTB34,0.5239977790515833,1.7750953,HIC2,0.9065824629349439,-0.64619607
9491,ITGAV,0.7221456990746701,-2.815629,IL10,0.8823230167805182,1.0775188,MFSD12,0.5241197320848063,0.45696303,BARD1,0.9066067105673576,0.09442828
9492,ADAM15,0.7222015841926266,-2.1295512,MRPL40,0.8823605916964828,0.23471251,SLC8B1,0.5244856784527087,0.23704989,LSM11,0.9066915779661636,-0.98538905
9493,C17ORF96,0.7222239386549019,-1.8780563,RP11-497H16.9,0.8824983686526647,1.0428361,AKAP7,0.5252179636665724,-0.6299926,AKTIP,0.9068128189551864,0.31479064
9494,PECR,0.7222351159749794,0.15182836,UBIAD1,0.8825735212183624,0.03662253,ACADSB,0.5256366471423899,-0.22018588,DDX21,0.9069340621156563,-0.028419739
9495,NAF1,0.7226934371221156,0.23186615,C6ORF136,0.8825923095249765,0.07494479,GEMIN5,0.5256802698184708,0.010242034,ACACB,0.9070916814659775,0.5076363
9496,CDHR3,0.7227046169305121,3.004081,PPP1R2P9,0.8827050407514511,1.5733552,TMEM164,0.5260293178623616,1.1060015,SLC17A9,0.9071159309217014,0.49925107
