,scNym_confidence
1465,0.78408504
1466,0.7727305
1467,0.7039794
1468,0.782332
1469,0.8099842
1470,0.5797273
1471,0.67451125
1472,0.78354496
1473,0.75986046
1474,0.7696639
1475,0.78167164
1476,0.76447594
1477,0.7746093
1478,0.64921165
1479,0.7874082
1480,0.85759443
1481,0.8452446
1482,0.8149972
1483,0.7683298
1484,0.7588094
1485,0.727498
1486,0.78816414
1487,0.7643154
1488,0.7443553
1489,0.63877875
1490,0.7398189
1491,0.7880228
1492,0.73792285
1493,0.77976674
1494,0.75931627
1495,0.8073509
1496,0.8603953
1497,0.7806423
1498,0.7141097
1499,0.7179142
1500,0.84136033
1501,0.724788
1502,0.7871941
1503,0.7853592
1504,0.6277479
1505,0.8126118
1506,0.8240394
1507,0.7933582
1508,0.7587953
1509,0.7878752
1510,0.8012633
1511,0.7616596
1512,0.7639803
1513,0.69615024
1514,0.77352303
1515,0.6302321
1516,0.7883261
1517,0.8055252
1518,0.7586543
1519,0.7749142
1520,0.7815257
1521,0.71105933
1522,0.81062347
1523,0.7846158
1524,0.72635686
1525,0.6918539
1526,0.776082
1527,0.6762586
1528,0.64740103
1529,0.81851023
1530,0.7747524
1531,0.6262914
1532,0.67406964
1533,0.8217373
1534,0.80612737
1535,0.75571805
1536,0.72177947
1537,0.843612
1538,0.63148105
1539,0.7822837
1540,0.831006
1541,0.82146245
1542,0.73153824
1543,0.7875122
1544,0.6247663
1545,0.7773198
1546,0.7543627
1547,0.73992664
1548,0.8755216
1549,0.7558385
1550,0.8187019
1551,0.7326621
1552,0.79254407
1553,0.6410925
1554,0.7552834
1555,0.818575
1556,0.775248
1557,0.8236425
1558,0.7625196
1559,0.6989992
1560,0.77433014
1561,0.8002634
1562,0.8497847
1563,0.7883313
1564,0.7111756
1565,0.7565908
1566,0.76253223
1567,0.81080353
1568,0.7737324
1569,0.73508316
1570,0.79132354
1571,0.7248445
1572,0.79951006
1573,0.7892553
1574,0.7825015
1575,0.6607838
1576,0.83855677
1577,0.7914742
1578,0.7733781
1579,0.68848836
1580,0.7716515
1581,0.758634
1582,0.7471121
1583,0.70654744
1584,0.7687439
1585,0.71668774
1586,0.6996711
1587,0.7779381
1588,0.754012
1589,0.7478448
1590,0.71128523
1591,0.6661419
1592,0.75833434
1593,0.7250464
1594,0.7673751
1595,0.80697083
1596,0.79773533
1597,0.81841516
1598,0.72076005
1599,0.640263
1600,0.7861028
1601,0.8284238
1602,0.8228382
1603,0.7554256
1604,0.8502553
1605,0.7287085
1606,0.6465421
1607,0.75919616
1608,0.7533926
1609,0.7342628
1610,0.72339225
1611,0.62205875
1612,0.6943482
1613,0.6555289
1614,0.7864101
1615,0.8173465
1616,0.6103881
1617,0.81441903
1618,0.74641097
1619,0.8100859
1620,0.5283286
1621,0.6663175
1622,0.7481646
1623,0.8296941
1624,0.80510116
1625,0.82357174
1626,0.78611255
1627,0.761095
1628,0.5798045
1629,0.79518354
1630,0.7761399
1631,0.80005825
1632,0.7134712
1633,0.88159907
1634,0.81812304
1635,0.73529875
1636,0.65600985
1637,0.78194445
1638,0.70644146
1639,0.69407046
1640,0.7717389
1641,0.64446115
1642,0.6364945
1643,0.84986347
1644,0.78703123
1645,0.69558716
1646,0.82168627
1647,0.737027
1648,0.8014346
1649,0.7896635
1650,0.78691274
1651,0.8557973
1652,0.79777896
1653,0.80145717
1654,0.7858929
1655,0.7913223
1656,0.8504911
1657,0.78050035
1658,0.82076705
1659,0.8124116
1660,0.875725
1661,0.665968
1662,0.6945641
1663,0.72925305
1664,0.5847784
1665,0.8025419
1666,0.7473494
1667,0.76929677
1668,0.77831507
1669,0.6652709
1670,0.74899596
1671,0.7976967
