"","x"
"1915",1
"1916",6
"1917",6
"1918",8
"1919",0
"1920",3
"1921",5
"1922",2
"1923",4
"1924",8
"1925",3
"1926",3
"1927",1
"1928",1
"1929",0
"1930",6
"1931",1
"1932",6
"1933",2
"1934",4
"1935",4
"1936",0
"1937",2
"1938",0
"1939",0
"1940",1
"1941",6
"1942",5
"1943",4
"1944",1
"1945",6
"1946",1
"1947",6
"1948",1
"1949",7
"1950",7
"1951",8
"1952",1
"1953",0
"1954",7
"1955",1
"1956",1
"1957",4
"1958",1
"1959",5
"1960",5
"1961",0
"1962",4
"1963",7
"1964",4
"1965",2
"1966",4
"1967",4
"1968",1
"1969",7
"1970",3
"1971",5
"1972",5
"1973",3
"1974",2
"1975",8
"1976",0
"1977",0
"1978",5
"1979",8
"1980",3
"1981",1
"1982",6
"1983",4
"1984",2
"1985",5
"1986",2
"1987",1
"1988",2
"1989",2
"1990",5
"1991",4
"1992",6
"1993",4
"1994",0
"1995",1
"1996",5
"1997",4
"1998",4
"1999",1
"2000",2
"2001",2
"2002",2
"2003",0
"2004",3
"2005",4
"2006",6
"2007",3
"2008",4
"2009",4
"2010",1
"2011",1
"2012",1
"2013",0
"2014",7
"2015",0
"2016",4
"2017",0
"2018",3
"2019",2
"2020",2
"2021",1
"2022",1
"2023",7
"2024",4
"2025",4
"2026",3
"2027",1
"2028",6
"2029",2
"2030",3
"2031",2
"2032",0
"2033",0
"2034",4
"2035",4
"2036",7
"2037",3
"2038",5
"2039",0
"2040",6
"2041",3
"2042",6
"2043",1
"2044",6
"2045",0
"2046",5
"2047",7
"2048",4
"2049",0
"2050",1
"2051",4
"2052",4
"2053",0
"2054",3
"2055",5
"2056",5
"2057",2
"2058",2
"2059",5
"2060",0
"2061",7
"2062",2
"2063",0
"2064",0
"2065",6
"2066",4
"2067",1
"2068",0
"2069",0
"2070",0
"2071",3
"2072",5
"2073",3
"2074",8
"2075",0
"2076",5
"2077",1
"2078",3
"2079",7
"2080",0
"2081",8
"2082",6
"2083",5
"2084",2
"2085",6
"2086",3
"2087",1
"2088",1
"2089",5
"2090",1
"2091",2
"2092",4
"2093",2
"2094",4
"2095",1
"2096",1
"2097",0
"2098",1
"2099",1
"2100",0
"2101",3
"2102",0
"2103",6
"2104",0
"2105",0
"2106",2
"2107",6
"2108",4
"2109",5
"2110",2
"2111",0
"2112",1
"2113",3
"2114",4
"2115",8
"2116",4
"2117",8
"2118",0
"2119",1
"2120",6
"2121",0
"2122",1
"2123",7
"2124",1
"2125",0
"2126",3
"2127",0
"2128",0
"2129",1
"2130",8
"2131",4
"2132",1
"2133",7
"2134",3
"2135",8
"2136",2
"2137",5
"2138",1
"2139",1
"2140",0
"2141",6
"2142",8
"2143",2
"2144",6
"2145",2
"2146",3
"2147",4
"2148",1
"2149",6
"2150",1
"2151",3
"2152",2
"2153",0
"2154",1
"2155",3
"2156",4
"2157",0
"2158",3
"2159",2
"2160",2
"2161",1
"2162",5
"2163",2
"2164",5
"2165",0
"2166",4
"2167",6
"2168",3
"2169",2
"2170",1
"2171",1
"2172",3
"2173",4
"2174",4
"2175",4
"2176",0
"2177",4
"2178",1
"2179",0
"2180",3
"2181",3
"2182",4
"2183",2
"2184",8
"2185",2
"2186",0
"2187",2
"2188",5
"2189",0
"2190",4
"2191",4
"2192",0
"2193",3
"2194",5
"2195",2
"2196",4
"2197",5
"2198",6
"2199",8
"2200",1
"2201",0
"2202",1
"2203",4
"2204",3
"2205",3
"2206",2
"2207",7
"2208",5
"2209",1
"2210",0
"2211",3
"2212",2
"2213",0
"2214",2
"2215",0
"2216",0
"2217",0
"2218",4
"2219",7
"2220",2
"2221",2
"2222",1
"2223",4
"2224",1
"2225",4
"2226",4
"2227",4
"2228",2
"2229",3
"2230",0
"2231",2
"2232",1
"2233",6
"2234",4
"2235",3
"2236",5
"2237",6
"2238",4
"2239",4
"2240",0
"2241",1
"2242",0
"2243",3
"2244",2
"2245",1
"2246",1
"2247",3
"2248",1
"2249",8
"2250",1
"2251",2
"2252",2
"2253",2
"2254",2
"2255",4
"2256",0
"2257",0
"2258",5
"2259",7
"2260",2
"2261",0
"2262",6
"2263",3
"2264",6
"2265",0
"2266",2
"2267",0
"2268",2
"2269",6
"2270",5
"2271",2
"2272",2
"2273",3
"2274",5
"2275",3
"2276",8
"2277",2
"2278",2
"2279",3
"2280",7
"2281",7
"2282",3
"2283",2
"2284",2
"2285",7
"2286",5
"2287",2
"2288",3
"2289",4
"2290",6
"2291",0
"2292",3
"2293",1
"2294",3
"2295",0
"2296",0
"2297",4
"2298",4
"2299",4
"2300",0
"2301",4
"2302",7
"2303",8
"2304",3
"2305",2
"2306",5
"2307",1
"2308",4
"2309",2
"2310",2
"2311",4
"2312",3
"2313",1
"2314",2
"2315",1
"2316",8
"2317",0
"2318",4
"2319",6
"2320",1
"2321",0
"2322",0
"2323",0
"2324",5
"2325",3
"2326",2
"2327",4
"2328",3
"2329",4
"2330",3
"2331",0
"2332",7
"2333",0
"2334",5
"2335",2
"2336",3
"2337",2
"2338",5
"2339",0
"2340",6
"2341",4
"2342",5
"2343",4
"2344",0
"2345",8
"2346",0
"2347",3
"2348",5
"2349",3
"2350",3
"2351",1
"2352",5
"2353",0
"2354",0
"2355",5
"2356",8
